47 UMa c,Radial Velocity,2001,Lick Observatory,2391,100,-87,0,171.621,20.976,-23.201,0,13.7967,0.0289,-0.0289
47 UMa c,Radial Velocity,2001,Lick Observatory,7586,727,-727,0,425.87,69.92,-69.92,0,13.7967,0.0289,-0.0289
47 UMa c,Radial Velocity,2001,Lick Observatory,2287,19,-16,0,157.96072,10.17051,-9.53485,0,13.7967,0.0289,-0.0289
47 UMa d,Radial Velocity,2009,Lick Observatory,14002,4018,-5095,0,521.22,92.17,-152.55,0,13.7967,0.0289,-0.0289
47 UMa d,Radial Velocity,2009,Lick Observatory,19000,11000,-4000,0,479.92089,69.92225,-54.03083,0,13.7967,0.0289,-0.0289
51 Eri b,Imaging,2015,Gemini Observatory,14965,12775,-4380,0,,,,,29.7575,0.1213,-0.1203
51 Eri b,Imaging,2015,Gemini Observatory,11688,6209.25,-3287.25,0,,,,,29.7575,0.1213,-0.1203
51 Eri b,Imaging,2015,Gemini Observatory,,,,,635.66,,,0,29.7575,0.1213,-0.1203
51 Peg b,Radial Velocity,1995,Haute-Provence Observatory,4.231,,,0,146.2018,19.0698,-3.1783,0,15.4614,0.0297,-0.0297
51 Peg b,Radial Velocity,1995,Haute-Provence Observatory,4.23077,0.00004,-0.00004,0,148.738,2.225,-2.225,0,15.4614,0.0297,-0.0297
51 Peg b,Radial Velocity,1995,Haute-Provence Observatory,4.2293,0.0011,-0.0011,0,149.3801,6.3566,-6.3566,0,15.4614,0.0297,-0.0297
51 Peg b,Radial Velocity,1995,Haute-Provence Observatory,4.2307969,0.0000073,-0.0000078,0,147.47238,4.4496,-4.4496,0,15.4614,0.0297,-0.0297
51 Peg b,Radial Velocity,1995,Haute-Provence Observatory,4.230785,0.000036,-0.000036,0,150.009,12.395,-12.395,0,15.4614,0.0297,-0.0297
55 Cnc b,Radial Velocity,1996,Lick Observatory,14.65126,0.0007,-0.0007,0,260.61,38.14,-38.14,0,12.5855,0.0124,-0.0123
55 Cnc b,Radial Velocity,1996,Lick Observatory,14.647,0.001,-0.001,0,289.21,6.36,-6.36,0,12.5855,0.0124,-0.0123
55 Cnc b,Radial Velocity,1996,Lick Observatory,14.648,0.0009,-0.0009,0,266.9772,,,0,12.5855,0.0124,-0.0123
55 Cnc b,Radial Velocity,1996,Lick Observatory,14.465314,0.0009,-0.00095,0,266.966,41.634,-9.852,0,12.5855,0.0124,-0.0123
55 Cnc b,Radial Velocity,1996,Lick Observatory,14.65152,0.00015,-0.00015,0,263.9785,1.0488,-1.0488,0,12.5855,0.0124,-0.0123
55 Cnc b,Radial Velocity,1996,Lick Observatory,14.651,0.0001,-0.0001,0,254.25,3.814,-3.814,0,12.5855,0.0124,-0.0123
55 Cnc b,Radial Velocity,1996,Lick Observatory,14.6516,0.0001,-0.0001,0,255.4,2.9,-2.9,0,12.5855,0.0124,-0.0123
55 Cnc b,Radial Velocity,1996,Lick Observatory,14.65162,0.0007,-0.0007,0,261.881,2.225,-2.225,0,12.5855,0.0124,-0.0123
55 Cnc b,Radial Velocity,1996,Lick Observatory,14.67,0.01,-0.01,0,249.17872,28.6047,-28.6047,0,12.5855,0.0124,-0.0123
55 Cnc b,Radial Velocity,1996,Lick Observatory,14.6,,,0,254.25,,,0,12.5855,0.0124,-0.0123
55 Cnc b,Radial Velocity,1996,Lick Observatory,14.65171,0.000053,-0.000052,0,267.29369,8.26354,-8.26354,0,12.5855,0.0124,-0.0123
55 Cnc b,Radial Velocity,1996,Lick Observatory,14.653,0.0006,-0.0006,0,266.9772,22.2481,-22.2481,0,12.5855,0.0124,-0.0123
55 Cnc c,Radial Velocity,2004,McDonald Observatory,44.3827,0.0038,-0.0038,0,54.34866,2.09767,-2.09767,0,12.5855,0.0124,-0.0123
55 Cnc c,Radial Velocity,2004,McDonald Observatory,43.93,0.25,-0.25,0,68.96911,12.7132,-12.7132,0,12.5855,0.0124,-0.0123
55 Cnc c,Radial Velocity,2004,McDonald Observatory,44.3787,0.007,-0.007,0,52.44,8.263,-8.263,0,12.5855,0.0124,-0.0123
55 Cnc c,Radial Velocity,2004,McDonald Observatory,44.373,0.02,-0.018,0,56.6985,8.74,-2.479,0,12.5855,0.0124,-0.0123
55 Cnc c,Radial Velocity,2004,McDonald Observatory,44.3989,0.0042,-0.0043,0,51.2,1.3,-1.3,0,12.5855,0.0124,-0.0123
55 Cnc c,Radial Velocity,2004,McDonald Observatory,44.3446,0.007,-0.007,0,53.711,2.543,-2.543,0,12.5855,0.0124,-0.0123
55 Cnc c,Radial Velocity,2004,McDonald Observatory,44.4175,0.0073,-0.0073,0,54.4738,1.748,-1.748,0,12.5855,0.0124,-0.0123
55 Cnc c,Radial Velocity,2004,McDonald Observatory,44.38,0.007,-0.007,0,52.44,1.7162,-1.7162,0,12.5855,0.0124,-0.0123
